AttributeName, RelName, AttributeType
#Attributes, RELATIONCAT, 3.000000 
#Records, RELATIONCAT, 3.000000 
FirstBlock, RELATIONCAT, 3.000000 
LastBlock, RELATIONCAT, 3.000000 
#Slots, RELATIONCAT, 3.000000 
AttributeType, ATTRIBUTECAT, 3.000000 
PrimaryFlag, ATTRIBUTECAT, 3.000000 
RootBlock, ATTRIBUTECAT, 3.000000 
Offset, ATTRIBUTECAT, 3.000000 
AttributeType, target1, 3.000000 
PrimaryFlag, target1, 3.000000 
RootBlock, target1, 3.000000 
Offset, target1, 3.000000 
AttributeType, target3, 3.000000 
PrimaryFlag, target3, 3.000000 
RootBlock, target3, 3.000000 
Offset, target3, 3.000000 
AttributeType, temp, 3.000000 
PrimaryFlag, temp, 3.000000 
RootBlock, temp, 3.000000 
Offset, temp, 3.000000 
