RelName,AttributeName,AttributeType,PrimaryFlag,RootBlock,Offset
RELATIONCAT,RelName,1.000000,-1.000000,-1.000000,0.000000
RELATIONCAT,#Attributes,0.000000,-1.000000,-1.000000,1.000000
RELATIONCAT,#Records,0.000000,-1.000000,-1.000000,2.000000
RELATIONCAT,FirstBlock,0.000000,-1.000000,-1.000000,3.000000
RELATIONCAT,LastBlock,0.000000,-1.000000,-1.000000,4.000000
RELATIONCAT,#Slots,0.000000,-1.000000,-1.000000,5.000000
ATTRIBUTECAT,RelName,1.000000,-1.000000,-1.000000,0.000000
ATTRIBUTECAT,AttributeName,1.000000,-1.000000,-1.000000,1.000000
ATTRIBUTECAT,AttributeType,0.000000,-1.000000,-1.000000,2.000000
ATTRIBUTECAT,PrimaryFlag,0.000000,-1.000000,-1.000000,3.000000
ATTRIBUTECAT,RootBlock,0.000000,-1.000000,-1.000000,4.000000
ATTRIBUTECAT,Offset,0.000000,-1.000000,-1.000000,5.000000
new11,Id,0.000000,-1.000000,-1.000000,0.000000
new11,Name,1.000000,-1.000000,-1.000000,1.000000
new11,Age,0.000000,-1.000000,-1.000000,2.000000
new12,Id,0.000000,-1.000000,-1.000000,0.000000
new12,Name,1.000000,-1.000000,-1.000000,1.000000
new12,Age,0.000000,-1.000000,-1.000000,2.000000
new13,Id,0.000000,-1.000000,-1.000000,0.000000
new13,Name,1.000000,-1.000000,-1.000000,1.000000
new13,Age,0.000000,-1.000000,-1.000000,2.000000
new14,Id,0.000000,-1.000000,-1.000000,0.000000
new14,Name,1.000000,-1.000000,-1.000000,1.000000
new14,Age,0.000000,-1.000000,-1.000000,2.000000
new15,Id,0.000000,-1.000000,-1.000000,0.000000
new15,Name,1.000000,-1.000000,-1.000000,1.000000
new15,Age,0.000000,-1.000000,-1.000000,2.000000
new16,Id,0.000000,-1.000000,-1.000000,0.000000
new16,Name,1.000000,-1.000000,-1.000000,1.000000
new16,Age,0.000000,-1.000000,-1.000000,2.000000
new17,Id,0.000000,-1.000000,-1.000000,0.000000
new17,Name,1.000000,-1.000000,-1.000000,1.000000
new17,Age,0.000000,-1.000000,-1.000000,2.000000
new18,Id,0.000000,-1.000000,-1.000000,0.000000
new18,Name,1.000000,-1.000000,-1.000000,1.000000
new18,Age,0.000000,-1.000000,-1.000000,2.000000
new18,Weight,0.000000,-1.000000,-1.000000,3.000000
new18,Hair,1.000000,-1.000000,-1.000000,4.000000
