RelName,AttributeName,AttributeType,PrimaryFlag,RootBlock,Offset
RELATIONCAT,RelName,1.000000,-1.000000,-1.000000,0.000000
RELATIONCAT,#Attributes,3.000000,-1.000000,-1.000000,1.000000
RELATIONCAT,#Records,3.000000,-1.000000,-1.000000,2.000000
RELATIONCAT,FirstBlock,3.000000,-1.000000,-1.000000,3.000000
RELATIONCAT,LastBlock,3.000000,-1.000000,-1.000000,4.000000
RELATIONCAT,#Slots,3.000000,-1.000000,-1.000000,5.000000
ATTRIBUTECAT,RelName,1.000000,-1.000000,-1.000000,0.000000
ATTRIBUTECAT,AttributeName,1.000000,-1.000000,-1.000000,1.000000
ATTRIBUTECAT,AttributeType,3.000000,-1.000000,-1.000000,2.000000
ATTRIBUTECAT,PrimaryFlag,3.000000,-1.000000,-1.000000,3.000000
ATTRIBUTECAT,RootBlock,3.000000,-1.000000,-1.000000,4.000000
ATTRIBUTECAT,Offset,3.000000,-1.000000,-1.000000,5.000000
new1,Id,3.000000,-1.000000,-1.000000,0.000000
new1,Name,1.000000,-1.000000,-1.000000,1.000000
new1,Age,3.000000,-1.000000,-1.000000,2.000000
new2,Id,3.000000,-1.000000,-1.000000,0.000000
new2,Name,1.000000,-1.000000,-1.000000,1.000000
new2,Age,3.000000,-1.000000,-1.000000,2.000000
new2,Height,3.000000,-1.000000,-1.000000,3.000000
new3,Id,3.000000,-1.000000,-1.000000,0.000000
new3,Name,1.000000,-1.000000,-1.000000,1.000000
new3,Age,3.000000,-1.000000,-1.000000,2.000000
new3,Gender,3.000000,-1.000000,-1.000000,3.000000
new4,Id,3.000000,-1.000000,-1.000000,0.000000
new4,Name,1.000000,-1.000000,-1.000000,1.000000
new4,Age,3.000000,-1.000000,-1.000000,2.000000
new5,Id,3.000000,-1.000000,-1.000000,0.000000
new5,Name,1.000000,-1.000000,-1.000000,1.000000
new5,Age,3.000000,-1.000000,-1.000000,2.000000
new6,Id,3.000000,-1.000000,-1.000000,0.000000
new6,Name,1.000000,-1.000000,-1.000000,1.000000
new6,Age,3.000000,-1.000000,-1.000000,2.000000
new7,Id,3.000000,-1.000000,-1.000000,0.000000
new7,Name,1.000000,-1.000000,-1.000000,1.000000
new7,Age,3.000000,-1.000000,-1.000000,2.000000
new8,Id,3.000000,-1.000000,-1.000000,0.000000
new8,Name,1.000000,-1.000000,-1.000000,1.000000
new8,Age,3.000000,-1.000000,-1.000000,2.000000
new8,Grade,1.000000,-1.000000,-1.000000,3.000000
new9,Id,3.000000,-1.000000,-1.000000,0.000000
new9,Name,1.000000,-1.000000,-1.000000,1.000000
new9,Age,3.000000,-1.000000,-1.000000,2.000000
new10,Id,3.000000,-1.000000,-1.000000,0.000000
new10,Name,1.000000,-1.000000,-1.000000,1.000000
new10,Age,3.000000,-1.000000,-1.000000,2.000000
new11,Id,3.000000,-1.000000,-1.000000,0.000000
new11,Name,1.000000,-1.000000,-1.000000,1.000000
new11,Age,3.000000,-1.000000,-1.000000,2.000000
new12,Id,3.000000,-1.000000,-1.000000,0.000000
new12,Name,1.000000,-1.000000,-1.000000,1.000000
new12,Age,3.000000,-1.000000,-1.000000,2.000000
new13,Id,3.000000,-1.000000,-1.000000,0.000000
new13,Name,1.000000,-1.000000,-1.000000,1.000000
new13,Age,3.000000,-1.000000,-1.000000,2.000000
new14,Id,3.000000,-1.000000,-1.000000,0.000000
new14,Name,1.000000,-1.000000,-1.000000,1.000000
new14,Age,3.000000,-1.000000,-1.000000,2.000000
new15,Id,3.000000,-1.000000,-1.000000,0.000000
new15,Name,1.000000,-1.000000,-1.000000,1.000000
new15,Age,3.000000,-1.000000,-1.000000,2.000000
new16,Id,3.000000,-1.000000,-1.000000,0.000000
new16,Name,1.000000,-1.000000,-1.000000,1.000000
new16,Age,3.000000,-1.000000,-1.000000,2.000000
new17,Id,3.000000,-1.000000,-1.000000,0.000000
new17,Name,1.000000,-1.000000,-1.000000,1.000000
new17,Age,3.000000,-1.000000,-1.000000,2.000000
new18,Id,3.000000,-1.000000,-1.000000,0.000000
new18,Name,1.000000,-1.000000,-1.000000,1.000000
new18,Age,3.000000,-1.000000,-1.000000,2.000000
new18,Weight,3.000000,-1.000000,-1.000000,3.000000
new18,Hair,1.000000,-1.000000,-1.000000,4.000000
