id,Test1,Test2,Final,Grade
1,40,90,49,D
2,41,97,48,D
3,41,80,44,C
4,42,23,47,B
5,43,78,45,C
6,44,90,46,C
7,45,11,43,F
8,46,44.5,50,B
9,48,42.1,97,A
10,44,39.7,40,D
11,47,37.3,45,C
12,45,34.9,77,B
13,50,32.5,90,B
14,40,30.1,4,F
15,30,27.7,40,C
16,39,25.3,51.09090909,B
17,38.10909091,22.9,50.95104895,C
18,37.21818182,20.5,50.81118881,C
19,36.32727273,18.1,50.67132867,F
20,35.43636364,15.7,50.53146853,B
21,34.54545455,13.3,50.39160839,A
22,33.65454545,10.9,50.25174825,D
23,32.76363636,8.5,50.11188811,C
24,31.87272727,6.1,49.97202797,B
25,30.98181818,3.7,49.83216783,B
26,30.09090909,1.3,49.69230769,F
27,29.2,44.5,49.55244755,C
28,28.30909091,42.1,49.41258741,B
29,27.41818182,39.7,49.27272727,C
30,26.52727273,37.3,49.13286713,C
31,25.63636364,34.9,48.99300699,F
32,24.74545455,32.5,48.85314685,B
33,23.85454545,30.1,48.71328671,C
34,22.96363636,44.5,48.57342657,C
35,22.07272727,42.1,48.43356643,F
36,21.18181818,39.7,48.29370629,B
37,20.29090909,37.3,48.15384615,A
38,19.4,34.9,48.01398601,D
39,18.50909091,32.5,47.87412587,C
40,17.61818182,30.1,47.73426573,B
41,16.72727273,44.5,47.59440559,B
42,15.83636364,42.1,47.45454545,F
43,14.94545455,39.7,47.31468531,C
44,14.05454545,40.3,47.17482517,B
45,13.16363636,40.9,47.03496503,C
46,12.27272727,41.5,46.8951049,C
47,11.38181818,42.1,46.75524476,F
48,10.49090909,42.7,46.61538462,B
49,9.6,43.3,46.47552448,A
50,8.709090909,43.9,46.33566434,D
51,7.818181818,44.5,46.1958042,C
52,6.927272727,45.1,46.05594406,B
53,6.036363636,45.7,45.91608392,B
54,5.145454545,46.3,45.77622378,F
55,4.254545455,46.9,45.63636364,C
56,3.363636364,47.5,45.4965035,B
57,2.472727273,48.1,45.35664336,C
58,1.581818182,48.7,45.21678322,C
59,0.690909091,49.3,45.07692308,F
60,17.61818182,49.9,44.93706294,B
61,16.72727273,50.5,44.7972028,C
62,15.83636364,51.1,44.65734266,C
63,14.94545455,51.7,44.51748252,F
64,14.05454545,52.3,44.37762238,B
65,13.16363636,52.9,44.23776224,A
66,12.27272727,53.5,44.0979021,D
67,11.38181818,54.1,43.95804196,C
68,10.49090909,54.7,43.81818182,B
69,9.6,55.3,43.67832168,B
70,8.709090909,55.9,43.53846154,F
71,7.818181818,56.5,43.3986014,C
72,6.927272727,57.1,43.25874126,B
