id,Test1,Test2,Final,Grade
4.000000,42.000000,23.000000,47.000000,B
8.000000,46.000000,44.500000,50.000000,B
12.000000,45.000000,34.900000,77.000000,B
13.000000,50.000000,32.500000,90.000000,B
16.000000,39.000000,25.300000,51.090909,B
20.000000,35.436364,15.700000,50.531469,B
24.000000,31.872727,6.100000,49.972028,B
25.000000,30.981818,3.700000,49.832168,B
28.000000,28.309091,42.100000,49.412587,B
32.000000,24.745455,32.500000,48.853147,B
36.000000,21.181818,39.700000,48.293706,B
40.000000,17.618182,30.100000,47.734266,B
41.000000,16.727273,44.500000,47.594406,B
44.000000,14.054545,40.300000,47.174825,B
48.000000,10.490909,42.700000,46.615385,B
52.000000,6.927273,45.100000,46.055944,B
53.000000,6.036364,45.700000,45.916084,B
56.000000,3.363636,47.500000,45.496504,B
60.000000,17.618182,49.900000,44.937063,B
64.000000,14.054545,52.300000,44.377622,B
68.000000,10.490909,54.700000,43.818182,B
69.000000,9.600000,55.300000,43.678322,B
72.000000,6.927273,57.100000,43.258741,B
3.000000,41.000000,80.000000,44.000000,C
5.000000,43.000000,78.000000,45.000000,C
6.000000,44.000000,90.000000,46.000000,C
11.000000,47.000000,37.300000,45.000000,C
15.000000,30.000000,27.700000,40.000000,C
17.000000,38.109091,22.900000,50.951049,C
18.000000,37.218182,20.500000,50.811189,C
23.000000,32.763636,8.500000,50.111888,C
67.000000,11.381818,54.100000,43.958042,C
71.000000,7.818182,56.500000,43.398601,C
27.000000,29.200000,44.500000,49.552448,C
29.000000,27.418182,39.700000,49.272727,C
30.000000,26.527273,37.300000,49.132867,C
33.000000,23.854545,30.100000,48.713287,C
34.000000,22.963636,44.500000,48.573427,C
39.000000,18.509091,32.500000,47.874126,C
43.000000,14.945455,39.700000,47.314685,C
45.000000,13.163636,40.900000,47.034965,C
46.000000,12.272727,41.500000,46.895105,C
51.000000,7.818182,44.500000,46.195804,C
55.000000,4.254545,46.900000,45.636364,C
57.000000,2.472727,48.100000,45.356643,C
58.000000,1.581818,48.700000,45.216783,C
61.000000,16.727273,50.500000,44.797203,C
62.000000,15.836364,51.100000,44.657343,C
1.000000,40.000000,90.000000,49.000000,D
2.000000,41.000000,97.000000,48.000000,D
10.000000,44.000000,39.700000,40.000000,D
22.000000,33.654545,10.900000,50.251748,D
38.000000,19.400000,34.900000,48.013986,D
50.000000,8.709091,43.900000,46.335664,D
66.000000,12.272727,53.500000,44.097902,D
7.000000,45.000000,11.000000,43.000000,F
14.000000,40.000000,30.100000,4.000000,F
19.000000,36.327273,18.100000,50.671329,F
26.000000,30.090909,1.300000,49.692308,F
31.000000,25.636364,34.900000,48.993007,F
35.000000,22.072727,42.100000,48.433566,F
42.000000,15.836364,42.100000,47.454545,F
47.000000,11.381818,42.100000,46.755245,F
54.000000,5.145455,46.300000,45.776224,F
59.000000,0.690909,49.300000,45.076923,F
63.000000,14.945455,51.700000,44.517483,F
70.000000,8.709091,55.900000,43.538462,F
