RelName,#Attributes,#Records,FirstBlock,LastBlock,#Slots
RELATIONCAT,6.000000,10.000000,4.000000,4.000000,20.000000
ATTRIBUTECAT,6.000000,11.000000,5.000000,8.000000,20.000000
new11,3.000000,0.000000,-1.000000,-1.000000,41.000000
new12,3.000000,0.000000,-1.000000,-1.000000,41.000000
new13,3.000000,0.000000,-1.000000,-1.000000,41.000000
new14,3.000000,0.000000,-1.000000,-1.000000,41.000000
new15,3.000000,0.000000,-1.000000,-1.000000,41.000000
new16,3.000000,0.000000,-1.000000,-1.000000,41.000000
new17,3.000000,0.000000,-1.000000,-1.000000,41.000000
new18,5.000000,0.000000,-1.000000,-1.000000,24.000000
